,clip_name,tools_present
0,clip_000000,"[needle driver, nan, needle driver, cadiere forceps]"
1,clip_000001,"[needle driver, nan, needle driver, cadiere forceps]"
2,clip_000002,"[needle driver, nan, needle driver, cadiere forceps]"
3,clip_000003,"[needle driver, nan, needle driver, cadiere forceps]"
4,clip_000004,"[needle driver, nan, needle driver, cadiere forceps]"
5,clip_000005,"[needle driver, nan, needle driver, cadiere forceps]"
6,clip_000006,"[needle driver, nan, needle driver, cadiere forceps]"
7,clip_000007,"[needle driver, nan, needle driver, cadiere forceps]"
8,clip_000008,"[needle driver, nan, needle driver, cadiere forceps]"
9,clip_000009,"[needle driver, nan, needle driver, cadiere forceps]"
10,clip_000010,"[needle driver, nan, needle driver, cadiere forceps]"
11,clip_000011,"[needle driver, nan, needle driver, cadiere forceps]"
12,clip_000012,"[needle driver, nan, needle driver, cadiere forceps]"
13,clip_000013,"[needle driver, nan, needle driver, cadiere forceps]"
14,clip_000014,"[needle driver, nan, needle driver, cadiere forceps]"
15,clip_000015,"[needle driver, nan, needle driver, cadiere forceps]"
16,clip_000016,"[needle driver, nan, needle driver, cadiere forceps]"
17,clip_000017,"[needle driver, nan, needle driver, cadiere forceps]"
18,clip_000018,"[needle driver, nan, needle driver, cadiere forceps]"
19,clip_000019,"[needle driver, nan, needle driver, cadiere forceps]"
20,clip_000020,"[needle driver, nan, needle driver, cadiere forceps]"
21,clip_000021,"[needle driver, nan, needle driver, cadiere forceps]"
22,clip_000022,"[needle driver, nan, needle driver, cadiere forceps]"
23,clip_000023,"[needle driver, nan, needle driver, cadiere forceps]"
24,clip_000024,"[needle driver, nan, needle driver, cadiere forceps]"
25,clip_000025,"[needle driver, nan, needle driver, cadiere forceps]"
26,clip_000026,"[needle driver, nan, needle driver, cadiere forceps]"
27,clip_000027,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
28,clip_000028,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
29,clip_000029,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
30,clip_000030,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
31,clip_000031,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
32,clip_000032,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
33,clip_000033,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
34,clip_000034,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
35,clip_000035,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
36,clip_000036,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
37,clip_000037,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
38,clip_000038,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
39,clip_000039,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
40,clip_000040,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
41,clip_000041,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
42,clip_000042,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
43,clip_000043,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
44,clip_000044,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
45,clip_000045,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
46,clip_000046,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
47,clip_000047,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
48,clip_000048,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
49,clip_000049,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
50,clip_000050,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
51,clip_000051,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
52,clip_000052,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
53,clip_000053,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
54,clip_000054,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
55,clip_000055,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
56,clip_000056,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
57,clip_000057,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
58,clip_000058,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
59,clip_000059,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
60,clip_000060,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
61,clip_000061,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
62,clip_000062,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
63,clip_000063,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
64,clip_000064,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
65,clip_000065,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
66,clip_000066,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
67,clip_000067,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
