Frame	Grasper	Bipolar	Hook	Scissors	Clipper	Irrigator	SpecimenBag
0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0
50	1	0	0	0	0	0	0
75	1	0	0	0	0	0	0
100	1	0	0	0	0	0	0
125	1	0	0	0	0	0	0
150	1	0	0	0	0	0	0
175	1	0	0	0	0	0	0
200	1	0	0	0	0	0	0
225	1	0	0	0	0	0	0
250	1	0	0	0	0	0	0
275	1	0	0	0	0	0	0
300	0	0	0	0	0	0	0
325	1	0	0	0	0	0	0
350	1	0	0	0	0	0	0
375	1	0	0	0	0	0	0
400	1	0	0	0	0	0	0
425	1	0	0	0	0	0	0
450	1	0	0	0	0	0	0
475	1	0	0	0	0	0	0
500	1	0	0	0	0	0	0
525	1	0	0	0	0	0	0
550	1	0	0	0	0	0	0
575	1	0	0	0	0	0	0
600	1	0	0	0	0	0	0
625	1	0	0	0	0	0	0
650	1	0	0	0	0	0	0
675	1	0	0	0	0	0	0
700	1	0	0	0	0	0	0
725	1	0	0	0	0	0	0
750	1	0	0	0	0	0	0
775	1	0	0	0	0	0	0
800	1	0	0	0	0	0	0
825	1	0	0	0	0	0	0
850	1	0	0	0	0	0	0
875	1	0	0	0	0	0	0
900	1	0	1	0	0	0	0
925	1	0	1	0	0	0	0
950	1	0	1	0	0	0	0
975	1	0	1	0	0	0	0
1000	1	0	1	0	0	0	0
1025	1	0	1	0	0	0	0
1050	1	0	1	0	0	0	0
1075	1	0	1	0	0	0	0
1100	1	0	1	0	0	0	0
1125	1	0	1	0	0	0	0
1150	1	0	1	0	0	0	0
1175	1	0	1	0	0	0	0
1200	1	0	1	0	0	0	0
1225	1	0	1	0	0	0	0
1250	1	0	1	0	0	0	0
1275	1	0	1	0	0	0	0
1300	1	0	1	0	0	0	0
1325	1	0	1	0	0	0	0
1350	1	0	1	0	0	0	0
1375	1	0	1	0	0	0	0
1400	1	0	1	0	0	0	0
1425	1	0	1	0	0	0	0
1450	1	0	1	0	0	0	0
1475	1	0	1	0	0	0	0
1500	1	0	1	0	0	0	0
1525	1	0	1	0	0	0	0
1550	1	0	1	0	0	0	0
1575	1	0	1	0	0	0	0
1600	1	0	1	0	0	0	0
1625	1	0	1	0	0	0	0
1650	1	0	1	0	0	0	0
1675	1	0	1	0	0	0	0
1700	1	0	1	0	0	0	0
1725	1	0	1	0	0	0	0
1750	1	0	1	0	0	0	0
1775	1	0	1	0	0	0	0
1800	1	0	1	0	0	0	0
1825	1	0	1	0	0	0	0
1850	1	0	1	0	0	0	0
1875	1	0	0	0	0	0	0
1900	1	0	1	0	0	0	0
1925	1	0	1	0	0	0	0
1950	1	0	1	0	0	0	0
1975	1	0	1	0	0	0	0
2000	1	0	1	0	0	0	0
2025	1	0	0	0	0	0	0
2050	1	0	1	0	0	0	0
2075	1	0	0	0	0	0	0
2100	1	0	0	0	0	0	0
2125	1	0	0	0	0	0	0
2150	1	0	0	0	0	0	0
2175	1	0	1	0	0	0	0
